external/jackson-core,aosp,platform/external/jackson-core,5d22d536b428fcb935249dbe2bc6ee48f61f2d27
external/jackson-databind,aosp,platform/external/jackson-databind,cdeb77dbceb9d2571e22fd67ce9aced4dcd08098
external/jacoco,aosp,platform/external/jacoco,18a980206d62b715d1bb9a0b411413b2d0d5ee6f
external/jarjar,aosp,platform/external/jarjar,845305798a7e45e04d9931512cc8fdc21978b63b
external/javaparser,aosp,platform/external/javaparser,175858076dde95941f8b0ab6e17bf141e93249c3
external/javapoet,aosp,platform/external/javapoet,0765748f8c7f6979b46a6f7488232aed3c8a6c10
external/javasqlite,aosp,platform/external/javasqlite,733a02fc52c869ac7bd4ddc96f7a644e590a4c3c
external/javassist,aosp,platform/external/javassist,bfedf245bb35025c954ab2a0af1ca8430de1308b
external/jazzer-api,aosp,platform/external/jazzer-api,a74c14e5721cfd85dd0d0ebc3789ac0657564b7b
external/jcommander,aosp,platform/external/jcommander,38d9be81be809febb78b79b841f66d051ce499aa
external/jdiff,aosp,platform/external/jdiff,14cbdbefd37121b696f2284f66d672c2c9c6dd37
external/jemalloc_new,crdroid,crdroidandroid/android_external_jemalloc-new,b5b76a7236077313ba1a456f7687195ac5253663
external/jimfs,aosp,platform/external/jimfs,7bbad06b0b277dbdbf3da7a33225391d1a1b5f56
external/jline,aosp,platform/external/jline,30828e80b753c16ba8a210873bdfbd13df57065a
external/jsilver,aosp,platform/external/jsilver,b7d77aac2578f58cbe00864fb38e82300c99844f
external/jsmn,aosp,platform/external/jsmn,d1281dff28792ecd7ecf72a8160fb7816f4a282e
external/json-c,github,LineageOS/android_external_json-c,b6704a11c8ec5a928e921fdff4e6a2d239caf55c
external/jsoncpp,aosp,platform/external/jsoncpp,22d33955e4c2525e659f729c9f02afe09183b107
external/jsr305,aosp,platform/external/jsr305,22907f4d05369353acca7789e0e4610a2d6ccacd
external/jsr330,aosp,platform/external/jsr330,1f5ea49133b47534c45012b858a488eaffc73ce5
external/junit,aosp,platform/external/junit,282536d1775e7e8b9450b450a1443e1f164b8a03
external/junit-params,aosp,platform/external/junit-params,c6dc3cfa9ff21568d892e904744055b66128cfe8
external/kernel-headers,aosp,platform/external/kernel-headers,954c396aab5c69b3f141bba3fea00ad054f52555
external/kmod,aosp,platform/external/kmod,b748b53013964743132f5296d7f21377af939383
external/kotlinc,aosp,platform/external/kotlinc,606d9c28b73d5be51432cc5ba34c9be5a3e1dbed
external/kotlinx.atomicfu,aosp,platform/external/kotlinx.atomicfu,8f4851d32831c91ff4f83e8c31242d5671e70305
external/kotlinx.coroutines,aosp,platform/external/kotlinx.coroutines,c8f2c664a5f0195a7b752adeb8b15bc90a96be90
external/kotlinx.metadata,aosp,platform/external/kotlinx.metadata,727d105db129c4df610234e6c7af8b48e7cea1f5
external/ksoap2,aosp,platform/external/ksoap2,b4bfcaaef0de0e41cfd031170d1ef41de9d27f61
external/ktfmt,aosp,platform/external/ktfmt,3034c0aff0912b1fb419c908818e331aab1bc5e7
external/libabigail,aosp,platform/external/libabigail,075b1a0c1265707d1ae0c08fd69c618020f5a1d8
external/libaom,aosp,platform/external/libaom,d84c5960395d10ad41434d6a971b114c0fc383c8
external/libavc,aosp,platform/external/libavc,45179804c81be2b3c28d5f6ee0b7453efcbd8ac0
external/libbackup,aosp,platform/external/libbackup,e9be183035ad2d7462bba004cfe580309b8f2c21
external/libbpf,aosp,platform/external/libbpf,f60dce0e55842ac7acfedb4a9a14dee74c803245
external/libbrillo,aosp,platform/external/libbrillo,9c9e93eccae01a93d1e8793d445366530e31dfa4
external/libcap,aosp,platform/external/libcap,81d4afd1dc02e81bd9f653233a0450bc18716558
external/libcap-ng,aosp,platform/external/libcap-ng,2bcc92ae19481dd2b8d3ce3abdfbbee49261abe6
external/libchrome,aosp,platform/external/libchrome,8e5f454713fd4d6dfed8975c024a6629a2e859d4
external/libchromeos-rs,aosp,platform/external/libchromeos-rs,121e448c11b467dba5073c89bb95f5dd9eab7a8d
external/libconfig,aosp,platform/external/libconfig,ed00fdde8d205a82ca86b68496dd1d062ca8f0fd
external/libcppbor,aosp,platform/external/libcppbor,c80ee967fa3c893798e35e2979499b0a0b4bbec3
external/libcups,aosp,platform/external/libcups,c0373d3e21e7ceda227bd47bd2e059dbb18b87a3
external/libcxx,github,LineageOS/android_external_libcxx,0eab991b37dfa2342b7f0a1d2307241954dd226f
external/libcxxabi,aosp,platform/external/libcxxabi,9b8c5479211a1a1dc5d35d399f88344fd1f18610
external/libdivsufsort,aosp,platform/external/libdivsufsort,af15ea404517170f04c83e9ca1c80ff63f7de117
external/libdrm,aosp,platform/external/libdrm,7b50a545f11ef5e1390fd4e18a0f1e4c0820a231
external/libepoxy,aosp,platform/external/libepoxy,3b2cb36695f390131855967919bc7f3beed73b01
